[trainer] device=mps stage=a out_dir=checkpoints/scale_D512_L8
[data] generating 1000 problems x 10 templates into results/scale/train_data ...
[amp] fp32 (amp='auto', device=mps)
a,1,225.489293,2.000000e-04,1241.4783,111.80,76.03
a,2,22.830300,2.999225e-04,714.1716,110.43,76.97
a,3,8.874077,2.992961e-04,304.4358,78.09,108.85
a,4,7.278905,2.980434e-04,272.6711,102.47,82.95
a,5,5.028515,2.961698e-04,219.0233,120.10,70.77
a,6,3.449121,2.936831e-04,179.6616,128.40,66.20
a,7,3.463860,2.905937e-04,175.7840,151.90,55.96
a,8,2.464304,2.869147e-04,134.9406,146.90,57.86
a,9,2.866304,2.826614e-04,144.1314,124.53,68.26
a,10,2.312337,2.778516e-04,134.0185,142.73,59.55
a,11,3.029702,2.725056e-04,161.5165,124.58,68.23
a,12,1.940130,2.666458e-04,103.2494,125.01,68.00
a,13,2.050820,2.602967e-04,108.8922,109.24,77.81
a,14,1.994921,2.534850e-04,110.0301,113.00,75.22
a,15,1.831807,2.462393e-04,106.6808,120.13,70.76
a,16,1.585689,2.385898e-04,85.1919,84.73,100.32
a,17,1.657141,2.305688e-04,92.7200,98.53,86.27
a,18,1.514137,2.222099e-04,79.4983,106.76,79.62
a,19,1.400114,2.135481e-04,78.6971,116.23,73.13
a,20,1.552251,2.046198e-04,91.7454,99.18,85.70
a,21,1.250983,1.954623e-04,72.6296,94.74,89.72
a,22,1.056537,1.861142e-04,54.5082,109.31,77.76
a,23,1.258537,1.766146e-04,73.1077,96.60,88.00
a,24,1.023202,1.670034e-04,55.2023,114.42,74.28
a,25,1.182762,1.573208e-04,71.9041,116.59,72.91
a,26,1.023302,1.476076e-04,58.2363,116.90,72.71
a,27,0.962972,1.379043e-04,51.6104,131.17,64.80
a,28,0.932522,1.282519e-04,51.9683,133.58,63.63
a,29,0.895208,1.186906e-04,47.6122,111.57,76.19
a,30,0.921786,1.092606e-04,47.9741,112.60,75.49
a,31,0.864350,1.000016e-04,42.2879,109.34,77.74
a,32,0.900085,9.095221e-05,45.0734,121.39,70.02
a,33,0.783097,8.215052e-05,31.2198,117.85,72.13
a,34,0.810905,7.363341e-05,39.5873,119.92,70.88
a,35,0.765725,6.543661e-05,31.0217,120.93,70.29
a,36,0.753905,5.759450e-05,28.2568,106.43,79.87
a,37,0.753559,5.013997e-05,28.2467,116.56,72.92
a,38,0.739212,4.310429e-05,23.6439,122.41,69.44
a,39,0.711638,3.651696e-05,23.8082,114.47,74.25
a,40,0.708591,3.040562e-05,22.0563,125.69,67.63
a,41,0.681712,2.479590e-05,16.9836,133.69,63.58
a,42,0.691698,1.971134e-05,18.7546,139.51,60.93
a,43,0.685610,1.517324e-05,16.7331,131.49,64.64
a,44,0.686764,1.120066e-05,16.2861,115.95,73.31
a,45,0.685034,7.810252e-06,14.4839,116.34,73.06
a,46,0.675920,5.016235e-06,12.8607,117.83,72.14
a,47,0.672906,2.830331e-06,12.6777,116.91,72.70
a,48,0.674069,1.261708e-06,11.9940,125.76,67.59
a,49,0.674014,3.169449e-07,11.2032,125.16,67.91
a,50,0.673184,4.447483e-12,10.8264,108.00,78.70
[trainer] done — checkpoints in checkpoints/scale_D512_L8
[trainer] EMA on — Stage-A checkpoints carry ema_state_dict (model_state_dict is raw; eval can load ema_state_dict explicitly)
